time,open,high,low,close,Short MA,Mid MA,Long MA,Short MA Forecast 1,Short MA Forecast 2,Short MA Forecast 3,Mid MA Forecast 1,Mid MA Forecast 2,Mid MA Forecast 3,Long MA Forecast 1,Long MA Forecast 2,Long MA Forecast 3,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Plot,Plot,Volume,Volume MA,RSI,Premium Index,Funding Rate
2017-12-27T19:00:00-05:00,15374,15468,13145,14323,14242.285714285714,11945.8208190456,5941.579895361198,14392.571428571424,14479.714285714288,13602.42857142857,11966.860819045602,11979.0608190456,11856.2408190456,5946.839895361201,5949.8898953612,5919.184895361199,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,72902.7518229,70136.42990015997,49.57277221880604,0.145125,0.095125
2017-12-28T19:00:00-05:00,14324,15131,13826,14304,14403.857142857143,12089.3728190456,6000.251895361199,14406.571428571424,14707.142857142859,14837.857142857143,12089.7528190456,12131.832819045601,12150.1328190456,6000.3468953612,6010.8668953612,6015.4418953611985,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,47997.44310277,68645.33710723696,49.488958511999996,0.13915000000000002,0.08915000000000002
2017-12-29T19:00:00-05:00,14304,14417,11651,12384,14168,12206.0928190456,6048.786395361199,14442.28571428571,14447.714285714288,14898.57142857143,12244.492819045601,12245.2528190456,12308.3728190456,6058.386395361201,6058.5763953612,6074.356395361199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,75442.16785566,67060.20823412845,41.79831130357441,-0.7655,-0.375
2017-12-30T19:00:00-05:00,12385,14210,12166,13769,14209.714285714286,12355.4188190456,6105.659895361198,14011.85714285714,14560.428571428574,14568.571428571426,12327.718819045602,12404.518819045601,12405.658819045602,6098.734895361201,6117.9348953612,6118.219895361199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,43270.25129356,65319.87988467346,48.06770211288583,-0.7652,-0.375
2017-12-31T19:00:00-05:00,13763,13893,12777,13376,14173,12506.7248190456,6160.652395361199,14229.142857142853,13833.428571428574,14656.285714285712,12514.5848190456,12459.1848190456,12574.384819045603,6162.617395361201,6148.767395361199,6177.567395361199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,29564.92955226,64196.45220397296,46.53589087975178,0.0382,0.010000000000000002
2018-01-01T19:00:00-05:00,13375,15500,12795,14722,14036.142857142857,12671.6348190456,6222.074895361198,13843.85714285714,13956.142857142859,13362.57142857143,12644.7148190456,12660.4348190456,12577.334819045602,6215.3448953612005,6219.2748953612,6198.4998953611985,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,56192.95272942,63862.403127546466,52.159148525709966,0.09555,0.04554999999999999
2018-01-02T19:00:00-05:00,14717,15428.83091885,14500,15150,14004,12842.834819045602,6284.774395361199,13942.85714285714,13558.285714285716,13726.714285714286,12834.2748190456,12780.434819045602,12804.014819045602,6282.6343953612,6269.1743953611995,6275.069395361198,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,38358.37345226,63493.76441276846,53.82233523927038,0.24500000000000002,0.195
2018-01-03T19:00:00-05:00,15150,15422.15785315,14060,15159,14123.42857142857,13000.698,6348.112395361199,14122.142857142853,13999.857142857145,13422.999999999998,13000.518,12983.398000000001,12902.638000000003,6348.067395361201,6343.7873953612,6323.597395361198,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,46479.98264264,62661.58606050946,53.85866108403626,0.16915,0.11914999999999999
2018-01-04T19:00:00-05:00,15159,17105,14725,16911,14495.857142857143,13181.614000000001,6419.757395361198,14245.571428571426,14243.000000000004,14059.571428571426,13146.574,13146.214000000002,13120.534000000001,6410.997395361201,6410.9073953612,6404.487395361199,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,54627.60106518,62979.57007701546,60.39080891843671,0.2092,0.1592
2018-01-05T19:00:00-05:00,16912,17252,16251,17169,15179.42857142857,13371.476,6492.025895361199,15142.571428571426,14642.000000000004,14638.142857142855,13366.316,13296.236,13295.696000000002,6490.735895361201,6473.2158953612,6473.080895361199,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,29616.48524759,61870.19615492447,61.26054915070123,0.15135,0.10135000000000001
2018-01-06T19:00:00-05:00,17165,17178,15712,16215.35727958,15528.908182797142,13540.317145591602,6559.980681759099,15665.142857142857,15591.428571428576,14840.571428571426,13559.39,13549.07,13443.950000000003,6564.748895361201,6562.1688953612,6535.888895361199,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,30838.08496089,60733.675100599474,56.33637753488775,0.25687499999999996,0.20687499999999998
2018-01-07T19:00:00-05:00,16213,16329,13755,14906,15747.479611368572,13677.383145591602,6621.146681759099,15934.53065130857,16207.000000000002,16096.428571428569,13703.570291183201,13741.716,13726.236,6627.693468157001,6637.2298953612,6633.359895361198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,64952.71702253,60648.71703135998,50.351911461595535,0.20677500000000001,0.156775
2018-01-08T19:00:00-05:00,14911,15355,14122,14425,15705.05103994,13800.907145591602,6679.897181759099,15773.765325654285,16147.867405534287,16556.571428571428,13810.5271455916,13862.9014367748,13920.120000000003,6682.302181759101,6695.3957545549,6709.700395361199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,43436.35228305,58712.69105131198,48.321210883134114,0.07325,0.023249999999999993
2018-01-09T19:00:00-05:00,14429,14901,13300,14900,15669.336754225715,13936.969145591602,6741.884181759099,15601.47961136857,15738.908182797144,16300.06130261714,13927.469145591602,13946.709145591602,14025.2705823664,6739.509181759101,6744.3191817591005,6763.9595409528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,57332.64613851,58299.58217910897,50.446591332000224,0.064625,0.014624999999999999
2018-01-10T19:00:00-05:00,14900,14999,12639,13254,15397.193897082858,14037.449145591601,6795.737681759098,15632.336754225713,15496.62246851143,15702.765325654284,14070.369145591601,14051.369145591601,14080.229145591604,6803.967681759101,6799.2176817591,6806.432681759099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,3465.1,11874,71695.39341684,52952.50563945047,43.734345039942966,0.10447500000000001,0.05447500000000001
2018-01-11T19:00:00-05:00,13253,14100,12751,13794,14951.908182797142,14153.787145591601,6852.7396817591,14874.765325654284,15345.051039940003,15141.47961136857,14142.987145591602,14208.827145591602,14180.327145591602,6850.039681759101,6866.499681759099,6859.374681759098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,3465.1,11874,37423.47346585,51827.23902440397,46.260601686872384,0.034300000000000004,0.010000000000000002
2018-01-12T19:00:00-05:00,13790,14580,13750,14199,14527.622468511428,14273.9331455916,6911.1286817591,14469.765325654284,14315.479611368573,15020.90818279714,14265.833145591603,14244.233145591603,14342.993145591603,6909.103681759101,6903.7036817591,6928.393681759098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,3465.1,11874,29006.20195027,49658.43790774447,48.141226987092416,0.092475,0.042475
2018-01-13T19:00:00-05:00,14192,14393,12874.34212454,13558,14148,14370.0251455916,6966.327681759099,14239.571428571426,14123.857142857145,13892.42857142857,14382.845145591602,14366.645145591603,14334.245145591602,6969.532681759101,6965.4826817591,6957.382681759099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,3465.1,11874,35602.02327452,49158.06426571446,45.43133098134201,0.04059999999999999,0.010000000000000002
2018-01-14T19:00:00-05:00,13554,14356,13300,13601,13961.571428571426,14455.9431455916,7021.9706817590995,13955.42857142857,14138.571428571431,13965,14455.083145591603,14480.723145591603,14456.423145591603,7021.7556817591,7028.165681759099,7022.0906817590985,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,33507.90572265,47661.81869261196,45.65234072619019,0.06915,0.01915
2018-01-15T19:00:00-05:00,13602,13617,9940,11065,13481.571428571426,14482.771145591601,7065.192681759098,13843.857142857141,13831.571428571431,14106.285714285714,14533.491145591603,14531.771145591601,14570.2311455916,7077.872681759101,7077.4426817591,7087.057681759099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,131832.52144202,51504.01292206846,36.31164093056729,-0.30235,-0.25235
2018-01-16T19:00:00-05:00,11065,11497,9231.1,11108,12939.857142857141,14507.089145591599,7109.001681759099,12933.714285714284,13658.285714285716,13639.857142857143,14506.229145591602,14607.6691455916,14605.0891455916,7108.786681759101,7134.1466817591,7133.501681759099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,132242.8879394,54471.01972789345,36.548702285824504,-0.30975,-0.25975000000000004
2018-01-17T19:00:00-05:00,11113,11904,10515,11030,12622.142857142855,14532.3671455916,7151.9261817591,12633.285714285712,12621.000000000002,13707.857142857143,14533.927145591602,14532.207145591601,14684.367145591601,7152.316181759101,7151.8861817591,7189.926181759099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,85205.02453748,56331.39879962895,36.28486447230236,-0.02214999999999999,0.010000000000000002
2018-01-18T19:00:00-05:00,11031,11900,10647,11476,12291,14563.7471455916,7196.6861817591,12227.285714285712,12249.571428571431,12231.142857142857,14554.827145591602,14557.947145591601,14555.367145591601,7194.456181759101,7195.2361817591,7194.591181759099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,3465.1,11874,48550.29998555,54986.80540612346,38.996580434283004,-0.103,-0.05299999999999999
2018-01-19T19:00:00-05:00,11477,13017,11407,12731,12081.285714285714,14601.1671455916,7247.441681759099,11901.999999999996,11774.571428571433,11808,14576.067145591604,14558.227145591602,14562.907145591602,7241.1666817591,7236.7066817591,7237.876681759099,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,46302.63241255,55138.42446207296,45.965511682292885,-0.0002249999999999987,0.01
2018-01-20T19:00:00-05:00,12731,12732,11015,11514,11789.285714285716,14613.847145591599,7292.018681759099,11963.142857142855,11604.571428571433,11413.42857142857,14638.187145591603,14587.9871455916,14561.227145591602,7298.103681759101,7285.5536817591,7278.863681759099,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,53624.38681432,56341.39732517595,41.066270707361085,-0.07535,-0.025349999999999998
2018-01-21T19:00:00-05:00,11513,11900,10009,10779,11386.142857142857,14606.187145591599,7332.9476817591,11491.142857142855,11838.857142857147,11301,14620.887145591601,14669.5671455916,14594.267145591602,7336.6226817591,7348.7926817591,7329.967681759099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,66353.71775118,56849.43557626395,38.40398627690655,-0.29764999999999997,-0.24764999999999998
2018-01-22T19:00:00-05:00,10779,11427,9900,10811,11349.857142857143,14590.427145591599,7374.6061817591,11345.285714285712,11555.28571428572,12076.857142857143,14589.787145591601,14619.187145591599,14692.207145591601,7374.446181759101,7381.796181759099,7400.051181759099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,63851.92778121,58124.11329271146,38.59064618033368,-0.232,-0.182
2018-01-23T19:00:00-05:00,10812,11557.88958366,10430,11391,11390.285714285714,14586.4071455916,7418.8511817591,11307.428571428569,11298.28571428572,11613.285714285714,14574.807145591603,14573.527145591599,14617.627145591601,7415.951181759101,7415.6311817590995,7426.656181759098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,43857.62788588,57992.995554873465,42.02020163052015,0.017975,0.01
2018-01-24T19:00:00-05:00,11390,11734,10845,11147,11407,14539.1671455916,7462.196681759099,11441.857142857141,11276.14285714286,11262.42857142857,14544.047145591601,14520.847145591599,14518.927145591602,7463.4166817591,7457.6166817591,7457.136681759098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,3465.1,11874,34411.83155151,56982.20707918996,40.983255323206315,0.01105,0.01
2018-01-25T19:00:00-05:00,11147,11700,10276,11070,11349,14428.3871455916,7505.9551817591,11359.999999999998,11429.71428571429,11181.142857142857,14429.927145591602,14439.687145591599,14404.887145591601,7506.3401817591,7508.7801817591,7500.080181759099,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,56747.00561351,58338.73309748595,40.642405460227735,-0.0412,0.008800000000000002
2018-01-26T19:00:00-05:00,11069,11689,10800,11458,11167.142857142857,14341.107145591599,7551.8261817591,11111.714285714284,11133.71428571429,11238.285714285714,14333.347145591604,14336.427145591599,14351.067145591602,7549.8861817591,7550.6561817591,7554.316181759099,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,34400.30046139,58516.84387251096,43.20563559077842,0.07745,0.027450000000000002
2018-01-27T19:00:00-05:00,11458,12190,11390,11828,11212,14284.4471455916,7599.088181759099,11159.142857142855,11048.28571428572,11081.285714285714,14277.047145591601,14261.527145591599,14266.147145591602,7597.2381817591,7593.358181759099,7594.513181759098,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,29622.62450128,56750.33924644846,45.61735253494303,0.5731999999999999,0.375
2018-01-28T19:00:00-05:00,11835,11975,11070,11217.81768538,11274.688240768572,14209.603499299199,7643.526770185999,11361.857142857143,11256.14285714286,11089.857142857143,14221.807145591603,14207.007145591599,14183.727145591602,7646.5776817590995,7642.8776817591,7637.057681759099,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,25648.29835264,55860.936549927945,42.418330456805556,0.49369999999999997,0.375
2018-01-29T19:00:00-05:00,11217.81768538,11250,9860.4,10171,11183.25966934,14077.9634992992,7683.349270186,11332.805052965714,11507.14285714286,11348.571428571426,14098.899853006802,14123.3071455916,14101.107145591603,7688.583358612901,7694.6851817591,7689.1351817590985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,61285.95988124,56058.60223706445,37.55284554476777,-0.0816,-0.0316
2018-01-30T19:00:00-05:00,10171,10414,9760,10267,11022.688240768568,13943.8634992992,7724.7912701860005,11008.973955054285,11308.064722305719,11569.571428571426,13941.943499299205,13983.816206714399,14020.427145591602,7724.311270186,7734.779447039801,7743.932181759098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,43232.31052511,54635.44809247796,38.252329890421045,-0.254825,-0.20482500000000003
2018-01-31T19:00:00-05:00,10268,10336,8941,9181,10741.831097911427,13804.0634992992,7761.071270186,10896.973955054285,10869.54538362572,11318.181534502855,13825.783499299205,13821.9434992992,13884.752560422005,7766.501270186,7765.5412701860005,7781.2435354666995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3465.1,11874,78778.32009414,56703.19042389245,33.65916571602254,-0.060449999999999976,-0.010449999999999973
