time,open,high,low,close,Short MA,Mid MA,Long MA,Short MA Forecast 1,Short MA Forecast 2,Short MA Forecast 3,Mid MA Forecast 1,Mid MA Forecast 2,Mid MA Forecast 3,Long MA Forecast 1,Long MA Forecast 2,Long MA Forecast 3,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Plot,Plot,Volume,Volume MA,RSI,Premium Index,Funding Rate
2021-12-13T16:00:00-05:00,46696,46960,46290,46848,47137.32036387573,48980.92616735621,49224.804694923514,47113.89179244715,47145.034649590045,47457.995741217106,48977.646167356244,48982.00616735607,49025.82072018364,49223.984694923514,49225.074694923445,49236.02833313042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,291.79559874,370.71545712149765,30.517449265419742,-0.019541666666666666,0.010000000000000002
2021-12-13T17:00:00-05:00,46842.25080277,47367,46740,46946,47083.17750673288,48947.706167356206,49214.38275272307,47069.17750673287,47022.32036387576,47069.03464958997,48945.74616735624,48939.18616735607,48945.72616735583,49213.89275272307,49212.252752723,49213.88775272302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,308.71217268,372.5210309159976,32.337126549784884,-0.031237499999999998,0.009999999999999998
2021-12-13T18:00:00-05:00,46946,47105,46635,46748.99252241,47018.605009934305,48906.066017804405,49208.05271533513,47046.74893530429,47018.748935304335,46948.463221018545,48910.006167356245,48906.086167356065,48896.24616735583,49209.03775272306,49208.057752723,49205.59775272302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,237.9348184,377.6116942729976,30.602080930935088,-0.048299999999999996,0.001700000000000007
2021-12-13T19:00:00-05:00,46757.79747071,47295,46356.20997454,47060,46943.319295648595,48869.64601780441,49200.577715335115,46898.88965599286,46955.17750673291,46913.17750673283,48863.42586825265,48871.30616735607,48865.42616735583,49199.02267794716,49200.992752722996,49199.52275272302,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,262.46091235,381.3523886674976,36.403270506679036,-0.047091666666666664,0.002908333333333339
2021-12-13T20:00:00-05:00,47060,47162,46653,46952,46861.71321748716,48820.166017804404,49188.62771533512,46877.141788915724,46788.28250960434,46872.71428571425,48822.326017804444,48809.88571870068,48821.706167355835,49189.167715335105,49186.057640559135,49189.012752723014,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,111.27254505,380.92956230749763,35.29975138153972,-0.04354999999999999,0.006450000000000011
2021-12-13T21:00:00-05:00,46967,47116,46754,47093.97814336,46904.71009511002,48774.365580671605,49178.26715214792,46884.42750320143,46915.28464605862,46781.995727091395,48771.526017804434,48775.84601780427,48757.18556914864,49177.5572614311,49178.63726143105,49173.9721492672,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,101.17302883,378.4744665529976,37.96218257167188,-0.04336874999999999,0.006631250000000012
2021-12-13T22:00:00-05:00,47093,47165,46835,47038,46955.281523681464,48730.519017158804,49168.60215214792,46963.278401304284,46922.713217487195,46968.998931772825,48731.63858002604,48725.95945429147,48732.43945429123,49168.88204286471,49167.46226143105,49169.08226143107,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,87.49662875,368.2785375294976,37.31028009203174,-0.038325,0.010000000000000002
2021-12-13T23:00:00-05:00,47024,47224,46950.87763273,47046,46983.56723796717,48689.61901715881,49159.28215214792,46982.42438082428,46998.41813607005,46937.57036034425,48689.45901715884,48691.69814289308,48683.17945429123,49159.242152147905,49159.801933581446,49157.67226143107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,104.36466849,350.53391509149765,37.475528646165664,-0.0375125,0.010000000000000002
2021-12-14T00:00:00-05:00,47045,47172,46726,46726,46952.138666538594,48637.01901715881,49146.79215214791,46997.852952252855,46995.567237967196,47019.55787083569,48643.41901715884,48643.099017158675,48646.45770576003,49148.392152147906,49148.312152147846,49149.15182429828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,88.30555932,348.48839935849765,33.65411391111425,-0.041416666666666664,0.008583333333333339
2021-12-14T01:00:00-05:00,46741,46909,46370,46727,46948.996877622885,48593.51919347401,49133.84715214791,46948.85402048,47040.282591908624,47036.854020479965,48593.49919347405,48606.29919347387,48605.819193473624,49133.84215214791,49137.04215214784,49136.92215214787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,278.69667711,355.8597690824976,33.6768741123643,-0.0432375,0.006762500000000005
2021-12-14T02:00:00-05:00,46718,47083,46595,47044,46946.71116333717,48554.279193474016,49121.697152147906,46901.42544905143,46901.13973476576,47038.28259190854,48547.939193474034,48547.899193473866,48567.09919347362,49120.112152147914,49120.10215214783,49124.90215214787,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,112.89294999,355.3505767894976,40.62989969597585,-0.03765,0.010000000000000002
2021-12-14T03:00:00-05:00,47049,47572,47024,47512.30415778,47026.75461444859,48520.42527662962,49115.09867293681,46959.85402048,46869.282591908624,46868.854020479965,48511.05919347404,48498.37919347387,48498.319193473624,49112.75715214791,49109.58715214783,49109.57215214787,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,189.74764752,352.46186789849764,49.1165921668469,-0.03669166666666667,0.010000000000000002
2021-12-14T04:00:00-05:00,47523,47540,46808,46880,46996.186308254306,48471.02257758202,49105.11867293681,47086.51547365143,46952.714285714326,46816.85714285711,48483.66866073764,48464.93649442627,48445.91649442603,49108.28019372571,49103.597152147835,49098.842152147874,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,152.49246713,344.6319660674976,40.66442584562318,-0.036135714285714285,0.010000000000000002
2021-12-14T05:00:00-05:00,46879,47422.34215275,46854,47401,47048.04345111145,48439.00257758202,49097.37367293681,46973.61487968286,47154.27321047719,46953.5714285714,48428.58257758203,48453.87474389307,48425.77649442603,49094.76867293681,49101.09171451454,49094.06715214786,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,177.14375301,330.1021882439976,48.52465869618037,-0.035396875,0.010000000000000002
2021-12-14T06:00:00-05:00,47402,47800,47241.19781084,47651.79425287,47134.58548723574,48414.798462639425,49090.17264420116,47098.75773682572,46949.90059396862,47220.88809015998,48409.78257758204,48388.942577581875,48426.88082704844,49088.91867293681,49083.70867293674,49093.19323530347,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46407,50592.1341712,195.81100353,307.6287886124976,51.832458969606066,-0.026325,0.010000000000000002
